Longitude,Latitude,Pixel,Scan
69.0394719,46.6538121,100,3150
69.2277491,46.6515701,150,3150
69.4160172,46.6489951,200,3150
69.6005592,46.6461477,249,3150
68.66113,46.521987,0,3200
68.8491916,46.520412,50,3200
69.037145,46.5185057,100,3200
69.2250399,46.5162679,150,3200
69.4129259,46.5136983,200,3200
69.5970936,46.5108572,249,3200
68.6595799,46.3866988,0,3250
68.8472614,46.3851253,50,3250
69.034835,46.3832216,100,3250
69.2223504,46.3809876,150,3250
69.4098572,46.3784229,200,3250
69.5936534,46.3755877,249,3250
68.6580116,46.251399,0,3300
68.845316,46.2498259,50,3300
69.0325128,46.2479238,100,3300
69.2196516,46.2456926,150,3300
69.406782,46.2431318,200,3300
69.5902093,46.2403015,249,3300
68.6564787,46.116112,0,3350
68.8434087,46.1145401,50,3350
69.0302314,46.1126404,100,3350
69.2169964,46.1104126,150,3350
69.4037532,46.1078563,200,3350
69.5868146,46.1050317,249,3350
68.6548677,45.9807966,0,3400
68.8414266,45.9792245,50,3400
69.0278783,45.9773257,100,3400
69.2142723,45.9751,150,3400
69.4006581,45.972547,200,3400
69.5833559,45.9697266,249,3400
68.6532758,45.8454829,0,3450
68.8394663,45.8439096,50,3450
69.0255497,45.8420107,100,3450
69.2115755,45.839786,150,3450
69.3975932,45.8372351,200,3450
69.5799301,45.8344179,249,3450
68.6517638,45.7102472,0,3500
68.8375882,45.7086778,50,3500
69.0233059,45.7067839,100,3500
69.2089662,45.7045654,150,3500
69.3946187,45.7020218,200,3500
69.5765979,45.6992128,249,3500
68.6502403,45.5749951,0,3550
68.8357013,45.5734262,50,3550
69.021056,45.571534,100,3550
69.2063536,45.5693183,150,3550
69.3916434,45.5667786,200,3550
69.5732675,45.5639746,249,3550
68.648656,45.4397285,0,3600
68.8337569,45.4381596,50,3600
69.0187515,45.4362685,100,3600
69.2036891,45.434055,150,3600
69.3886189,45.4315186,200,3600
69.56989,45.428719,249,3600
68.6470758,45.3044366,0,3650
68.8318192,45.3028673,50,3650
69.0164565,45.3009768,100,3650
69.2010367,45.2987651,150,3650
69.3856092,45.2962316,200,3650
69.56653,45.2934358,249,3650
68.6456104,45.1692279,0,3700
68.8299983,45.1676609,50,3700
69.0142804,45.1657737,100,3700
69.1985059,45.1635664,150,3700
69.382724,45.1610385,200,3700
69.5632978,45.1582492,249,3700
68.6440248,45.0339402,0,3750
68.8280606,45.0323713,50,3750
69.0119907,45.0304835,100,3750
69.1958642,45.0282766,150,3750
69.3797301,45.0257501,200,3750
69.5599588,45.0229634,249,3750
68.6425419,44.8987476,0,3800
68.8262275,44.8971802,50,3800
69.0098078,44.8952951,100,3800
69.1933318,44.893092,150,3800
69.3768485,44.8905704,200,3800
69.556735,44.8877895,249,3800
68.6411041,44.7636304,0,3850
68.8244419,44.7620681,50,3850
69.0076748,44.760189,100,3850
69.1908518,44.7579931,150,3850
69.3740219,44.7554799,200,3850
69.5535691,44.7527082,249,3850
68.6395564,44.6283828,0,3900
68.8225497,44.6268195,50,3900
69.0054382,44.6249405,100,3900
69.188271,44.6227458,150,3900
69.3710968,44.6202348,200,3900
69.5503065,44.6174664,249,3900
68.638008,44.4931294,0,3950
68.8206596,44.491566,50,3950
69.0032063,44.489688,100,3950
69.1856973,44.4874953,150,3950
69.3681814,44.4849874,200,3950
69.5470561,44.4822232,249,3950
68.6364984,44.3579078,0,4000
68.8188103,44.3563445,50,4000
69.0010177,44.3544678,100,4000
69.1831695,44.3522775,150,4000
69.3653144,44.3497732,200,4000
69.5438568,44.3470134,249,4000
68.63496,44.2226375,0,4050
68.8169351,44.2210724,50,4050
68.9988058,44.2191948,100,4050
69.1806209,44.2170048,150,4050
69.3624291,44.2145017,200,4050
69.5406414,44.2117442,249,4050
68.6335166,44.0875021,0,4100
68.8151567,44.0859395,50,4100
68.9966927,44.0840656,100,4100
69.1781734,44.0818802,150,4100
69.3596476,44.079383,200,4100
69.5375328,44.0766322,249,4100
68.6320134,43.9522978,0,4150
68.8133215,43.9507359,50,4150
68.9945256,43.9488638,100,4150
69.1756746,43.9466813,150,4150
69.356817,43.9441879,200,4150
69.5343771,43.9414421,249,4150
68.6305418,43.8171333,0,4200
68.81152,43.8155724,50,4200
68.9923946,43.8137024,100,4200
69.1732141,43.8115231,150,4200
69.3540273,43.809034,200,4200
69.5312649,43.8062934,249,4200
68.6290664,43.6819475,0,4250
68.8097173,43.6803865,50,4250
68.9902647,43.6785174,100,4250
69.1707573,43.67634,150,4250
69.3512437,43.673854,200,4250
69.528161,43.6711173,249,4250
68.6276232,43.5467911,0,4300
68.807949,43.5452317,50,4300
68.9881716,43.5433653,100,4300
69.1683396,43.5411917,150,4300
69.3485016,43.5387105,200,4300
69.5251012,43.5359796,249,4300
68.6261161,43.4116187,0,4350
68.8061196,43.4100586,50,4350
68.9860199,43.4081925,100,4350
69.1658658,43.4060203,150,4350
69.3457056,43.4035415,200,4350
69.5219894,43.400814,249,4350
68.6246759,43.2764807,0,4400
68.804359,43.2749224,50,4400
68.9839393,43.2730592,100,4400
69.1634653,43.2708909,150,4400
69.3429855,43.268417,200,4400
69.5189562,43.2656955,249,4400
68.6231236,43.1413526,0,4450
68.8024893,43.1397904,50,4450
68.9817522,43.1379243,100,4450
69.1609606,43.1357542,150,4450
69.340163,43.1332796,200,4450
69.515822,43.1305583,249,4450
68.6216175,43.0062208,0,4500
68.800668,43.0046578,50,4500
68.9796156,43.002792,100,4500
69.1585089,43.0006233,150,4500
69.3373959,42.9981511,200,4500
69.5127459,42.9954332,249,4500
68.6201888,42.8710698,0,4550
68.7989259,42.8695084,50,4550
68.9775605,42.8676452,100,4550
69.1561409,42.8654802,150,4550
69.3347153,42.8630127,200,4550
69.509759,42.8603004,249,4550
68.6187722,42.7359258,0,4600
68.7971982,42.7343658,50,4600
68.975522,42.7325051,100,4600
69.1537918,42.7303435,150,4600
69.3320559,42.7278807,200,4600
69.5067956,42.7251739,249,4600
68.6173128,42.6007476,0,4650
68.7954303,42.5991855,50,4650
68.9734456,42.5973237,100,4650
69.1514071,42.5951621,150,4650
69.329363,42.5927001,200,4650
69.5038007,42.5899953,249,4650
68.6158646,42.4656062,0,4700
68.7936757,42.464044,50,4700
68.9713849,42.4621831,100,4700
69.1490404,42.4600234,150,4700
69.3266902,42.4575645,200,4700
69.5008281,42.4548636,249,4700
68.6144601,42.3304966,0,4750
68.7919668,42.3289361,50,4750
68.9693719,42.3270781,100,4750
69.1467235,42.3249223,150,4750
69.3240698,42.3224682,200,4750
69.4979102,42.3197731,249,4750
68.6130328,42.1953971,0,4800
68.7902374,42.1938368,50,4800
68.9673407,42.1919799,100,4800
69.1443906,42.1898262,150,4800
69.3214353,42.1873754,200,4800
69.4949803,42.1846844,249,4800
